Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,,,,,,,,,,,,,,,
1981.1005.40,FALSE,FALSE,FALSE,382014,Drawings and Prints,1981,Drawing,Designs for ceiling lights,NA,NA,NA,NA,NA,Architect,Designed by,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",NA,"Wright, Frank Lloyd",American,1867,1959,NA,http://vocab.getty.edu/page/ulan/500020307,https://www.wikidata.org/wiki/Q5604,ca. 1905,1900,1910,Graphite,"mount: 19 1/4 x 14 1/4 in. (48.9 x 36.2 cm)
sheet: 7 9/16 x 10 3/4 in. (19.2 x 27.2 cm)","Purchase, Hermann G. Pundt Gift and Edward Pearse Casey, 1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,"© 2020 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/382014,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
51.644.76(44),FALSE,FALSE,FALSE,840183,Drawings and Prints,1951,Photographs Ornament & Architecture,"Harold Brown Esq: ""No.4""",NA,NA,NA,NA,NA,Architect|Artist,Designed by|Office of,"Ogden Codman, Jr.|Ogden Codman, Jr.","American, Boston, Massachusetts 1868–1951 Grégy-sur-Yerre|American, Boston, Massachusetts 1868–1951 Grégy-sur-Yerre",NA,"Codman, Ogden Jr.|Codman, Ogden Jr.",NA,1868      |1868,1951      |1951,|,http://vocab.getty.edu/page/ulan/500000606|http://vocab.getty.edu/page/ulan/500000606,|,ca. 1894–95,1875,1956,Watercolor and pencil on paper,Sheet: 4 5/16 × 7 5/8 in. (11 × 19.3 cm),"Gift of Estate of Ogden Codman, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings|Ornament & Architecture,NA,http://www.metmuseum.org/art/collection/search/840183,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
51.644.98,FALSE,FALSE,FALSE,835020,Drawings and Prints,1951,Photographs Ornament & Architecture,Photograph of unidentified house (exterior),NA,NA,NA,NA,NA,Architect|Photographer,NA,"Ogden Codman, Jr.|Anonymous, American, 19th to 20th centuries","American, Boston, Massachusetts 1868–1951 Grégy-sur-Yerre",NA,"Codman, Ogden Jr.|Anonymous, American, 19th–20th centuries",NA,1868      |1800,1951      |1999,|,http://vocab.getty.edu/page/ulan/500000606|,|,ca. 1891–1951,1875,1956,Photographs,Sheet: 7 11/16 × 9 5/8 in. (19.5 × 24.5 cm),"Gift of Estate of Ogden Codman, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs|Ornament & Architecture,NA,http://www.metmuseum.org/art/collection/search/835020,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
26.234.3,FALSE,FALSE,FALSE,32425,Arms and Armor,1926,Backplate,Backplate,"German, Augsburg",NA,NA,NA,NA,Armorer|Etcher,Lowest lame made and decorated by,Leonard Heinrich|Jörg Sorg the Younger,"German, Munich 1900–1966 Clarksville, New Jersey, United States|German, Augsburg, ca. 1522–1603","at the Metropolitan Museum of Art, Armor Workshop","Heinrich, Leonard|Sorg the Younger, Jörg",German|German,1900      |1500,1966      |1625,|,|http://vocab.getty.edu/page/ulan/500062195,|,"ca. 1550–55; some etched decoration, possibly 19th century; lowest lame, 1932",1525,1932,"Steel, gold",H. 16 1/2 in. (41.9 cm), W. 13 1/2 in. (34.3 cm),"Gift of George D. Pratt, 1926",NA,Augsburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Armor Parts-Backplates,NA,http://www.metmuseum.org/art/collection/search/32425,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
63.712.76,FALSE,FALSE,TRUE,388084,Drawings and Prints,1963,Drawing,Design for a Vessel with Two Griffons,NA,NA,NA,NA,NA,Artist,Attributed to,"Anonymous, French, 18th century",NA,NA,"Anonymous, French, 18th century",French,1700,1800,NA,http://vocab.getty.edu/page/ulan/500397994,https://www.wikidata.org/wiki/Q4233718,18th century,1700,1799,Pen and gray ink over graphite on laid paper,sheet: 6 7/16 x 5 3/16 in. (16.4 x 13.1 cm),"Gift of Regina Slatkin, 1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/388084,NA,NA,"Metropolitan Museum of Art, New York, NY",Griffins,http://vocab.getty.edu/page/aat/300379594,,,,,,,,,,,,,,,
14.42,FALSE,FALSE,FALSE,334912,Drawings and Prints,1914,Drawing,Portrait of Bismarck,NA,NA,NA,NA,NA,Artist,NA,Franz von Lenbach,"German, Schrobenhausen 1836–1904 Munich",NA,"Lenbach, Franz von",German,1836,1904,NA,http://vocab.getty.edu/page/ulan/500009477,https://www.wikidata.org/wiki/Q585323,1889,1889,1889,"Black, white and red chalk on gray paper.",NA,"Gift of George F. Baker, 1914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/334912,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
47.37.15,FALSE,FALSE,FALSE,269133,Photographs,1947,Photograph,[Painting of Clergyman with Book],NA,NA,NA,NA,NA,Artist,NA,Unknown,American,NA,Unknown,NA,NA,NA,NA,http://vocab.getty.edu/page/ulan/500125274,https://www.wikidata.org/wiki/Q24238356,1840s,1840,1849,Daguerreotype,6.5 x 5.0 cm. (2  9/16  x 2  in.),"Gift of Georgia W. Bellinger, 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA,http://www.metmuseum.org/art/collection/search/269133,https://www.wikidata.org/wiki/Q96800649,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
2015.336,FALSE,FALSE,FALSE,747393,Photographs,2015,Photograph,[Studio Portrait],NA,NA,NA,NA,NA,Artist,NA,Unknown,American,NA,Unknown,NA,NA,NA,NA,http://vocab.getty.edu/page/ulan/500125274,https://www.wikidata.org/wiki/Q24238356,1940s–50s,1940,1959,Gelatin silver print,NA,"Twentieth-Century Photography Fund, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA,http://www.metmuseum.org/art/collection/search/747393,NA,NA,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,,,,,,,,,,,,,,,
2018.502.9,FALSE,FALSE,FALSE,771843,Photographs,2018,NA,"Donna davanti ad altarino, Partinico",NA,NA,NA,NA,NA,Artist,NA,Enzo Sellerio,"Italian, Palermo 1924–2012 Palermo",NA,"Sellerio, Enzo",NA,1924-02-25,2012-02-22,NA,http://vocab.getty.edu/page/ulan/500345350,NA,"1954, printed 1998",1954,1954,Gelatin silver print,"Sheet: 15 9/16 × 11 1/2 in. (39.5 × 29.2 cm)
Image: 15 1/16 × 11 3/16 in. (38.3 × 28.4 cm)","Gift of Collezione Bertero, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA,http://www.metmuseum.org/art/collection/search/771843,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
JP318,FALSE,FALSE,TRUE,36786,Asian Art,1918,Print,NA,Japan,NA,NA,NA,NA,Artist,NA,Katsukawa Shun'ei 勝川春英,"Japanese, 1762–1819",NA,Katsukawa Shun'ei 勝川春英,Japanese,1762,1819,NA,http://vocab.getty.edu/page/ulan/500057323,NA,ca. 1793,1783,1803,Woodblock print, ink and color on paper,12 1/8 x 5 5/8 in. (30.8 x 14.3 cm),"Purchase, Joseph Pulitzer Bequest, 1918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/36786,NA,NA,"Metropolitan Museum of Art, New York, NY",Actors,http://vocab.getty.edu/page/aat/300025658,,,,,,,,,,,,,,
